ACTOR,ROLE,TITLE,AWARD,SCORE_1,SCORE_2,NUM_REVIEWS,polarity_mean,objectivity_mean,NUMERIC_KEY
George Bancroft,thunderbolt jim lang,thunderbolt,1.0,46.0,67.0,5.0,0.08055555555555556,0.5854166666666666,77
George C. Scott,general george s patton jr,patton,1.0,93.0,94.0,10.0,0.3325,0.7100694444444444,78
George C. Scott,dr herbert bock,the hospital,1.0,73.0,100.0,1.0,0.5,0.5,78
George Clooney,michael clayton,michael clayton,1.0,69.0,91.0,38.0,0.30522939649955777,0.5753379028379029,79
George Clooney,ryan bingham,up in the air,1.0,79.0,91.0,44.0,0.24364696463380678,0.6092738095238095,79
George Clooney,matthew king,the descendants,1.0,79.0,88.0,43.0,0.19430660774410777,0.5715096477596477,79
Gerard Depardieu,cyrano de bergerac,cyrano de bergerac,1.0,90.0,100.0,4.0,0.4375,0.6666666666666667,80
Giancarlo Giannini,pasqualino frafuso,seven beauties,1.0,88.0,71.0,1.0,0.0,0.0,81
Gregory Peck,father francis chisholm,the keys of the kingdom,1.0,0.0,0.0,0.0,0.0,0.0,82
Gregory Peck,ezra penny baxter,the yearling,1.0,76.0,100.0,0.0,0.0,0.0,82
Gregory Peck,philip schuyler green,gentlemans agreement,1.0,78.0,76.0,10.0,0.3820833333333334,0.5824999999999999,82
Gregory Peck,brig general frank savage,twelve oclock high,1.0,87.0,96.0,7.0,0.45254761904761903,0.49542857142857144,82
Gregory Peck,atticus finch,to kill a mockingbird,2.0,92.0,92.0,13.0,0.07517676767676766,0.6139646464646464,82
Harrison Ford,detective captain john book,witness,1.0,80.0,93.0,11.0,0.33353571428571427,0.6640833333333334,83
Heath Ledger,ennis del mar,brokeback mountain,1.0,82.0,87.0,31.0,0.29529247501469724,0.5866482951205173,84
Henry Fonda,tom joad,the grapes of wrath,1.0,88.0,100.0,10.0,0.22577182539682542,0.34074404761904764,85
Henry Fonda,norman thayer jr,on golden pond,2.0,87.0,93.0,9.0,0.30129629629629634,0.5951851851851852,85
Hugh Jackman,jean valjean,les miserables,1.0,79.0,69.0,36.0,0.07393486889454631,0.5524446401399528,86
Humphrey Bogart,rick blaine,casablanca,1.0,95.0,99.0,23.0,0.29975044563279857,0.6166165413533834,87
Humphrey Bogart,charlie allnut,the african queen,2.0,86.0,98.0,12.0,0.0630952380952381,0.6216233766233766,87
Humphrey Bogart,lt cmdr philip francis queeg,the caine mutiny,1.0,87.0,92.0,6.0,0.48333333333333334,0.6166666666666667,87
Ian McKellen,james whale,gods and monsters,1.0,83.0,95.0,14.0,0.21481481481481482,0.612962962962963,88
Jack Lemmon,jerry / daphne,some like it hot,1.0,94.0,95.0,19.0,0.35509114583333334,0.6363807189542484,89
Jack Lemmon,c c bud baxter,the apartment,1.0,94.0,93.0,17.0,0.25824786324786325,0.5755952380952382,89
Jack Lemmon,joe clay,days of wine and roses,1.0,88.0,100.0,1.0,0.0,0.0,89
Jack Lemmon,harry stoner,save the tiger,2.0,74.0,85.0,1.0,0.125,0.5125,89
Jack Lemmon,jack godell,the china syndrome,1.0,81.0,85.0,6.0,0.061656746031746035,0.585978835978836,89
Jack Lemmon,scottie templeton,tribute,1.0,0.0,0.0,1.0,0.5,0.5,89
Jack Lemmon,edmund horman,missing,1.0,85.0,94.0,6.0,0.21898148148148147,0.49583333333333335,89
Jack Nicholson,robert eroica dupea,five easy pieces,1.0,84.0,88.0,17.0,0.2722704081632653,0.5364126984126985,90
Jack Nicholson,signalman first class billy l badass buddusky,the last detail,1.0,87.0,89.0,9.0,0.30055082070707073,0.6310953282828282,90
Jack Nicholson,j j jake gittes,chinatown,1.0,93.0,99.0,19.0,0.05261964886964887,0.5679737854737855,90
Jack Nicholson,randle patrick mac mcmurphy,one flew over the cuckoos nest,2.0,96.0,94.0,15.0,0.014611111111111122,0.45251058201058203,90
Jack Nicholson,charley partanna,prizzis honor,1.0,62.0,86.0,6.0,0.2522486772486772,0.5771825396825397,90
Jack Nicholson,francis phelan,ironweed,1.0,59.0,58.0,12.0,0.045356090668590664,0.519699975949976,90
Jack Nicholson,melvin udall,as good as it gets,2.0,86.0,85.0,19.0,0.2505006105006105,0.576938775510204,90
Jack Nicholson,warren r schmidt,about schmidt,1.0,74.0,85.0,27.0,0.2617718855218855,0.6152203856749311,90
Jackie Cooper,skippy skinner,skippy,1.0,56.0,86.0,2.0,0.75,0.75,91
James Cagney,rocky sullivan,angels with dirty faces,1.0,92.0,100.0,1.0,-0.6,0.8,92
James Cagney,george m cohan,yankee doodle dandy,2.0,83.0,90.0,5.0,0.1897222222222222,0.5479166666666666,92
James Cagney,martin snyder,love me or leave me,1.0,74.0,67.0,1.0,-0.30000000000000004,0.39999999999999997,92
James Dean,cal trask,east of eden,1.0,90.0,85.0,5.0,0.12138888888888888,0.5438148148148148,93
James Dean,jett rink,giant,1.0,87.0,95.0,10.0,0.08821230158730159,0.6197003968253968,93
James Earl Jones,jack jefferson,the great white hope,1.0,67.0,43.0,3.0,0.05740740740740743,0.6462962962962963,94
James Franco,aron ralston,127 hours,1.0,85.0,93.0,35.0,0.25854166666666667,0.6056436011904762,95
James Garner,murphy jones,murphys romance,1.0,75.0,73.0,8.0,0.03220486111111111,0.4738715277777778,96
James Mason,norman maine,a star is born,1.0,82.0,98.0,7.0,0.26233333333333336,0.4526666666666667,97
James Stewart,jefferson smith,mr smith goes to washington,1.0,94.0,96.0,5.0,0.30333333333333334,0.3983333333333333,98
James Stewart,macaulay mike connor,the philadelphia story,2.0,93.0,100.0,12.0,0.28125,0.5795238095238096,98
James Stewart,george bailey,its a wonderful life,1.0,95.0,94.0,16.0,0.5388425925925926,0.6789529914529915,98
James Stewart,elwood p dowd,harvey,1.0,0.0,0.0,0.0,0.0,0.0,98
James Stewart,elwood p dowd,harvey,1.0,93.0,85.0,5.0,0.05625,0.6345833333333333,98
James Stewart,paul biegler,anatomy of a murder,1.0,90.0,100.0,8.0,0.12976190476190477,0.5291666666666667,98
James Whitmore,harry s truman,give em hell harry!,1.0,80.0,100.0,2.0,0.4666666666666667,0.5833333333333334,99
James Woods,richard boyle,salvador,1.0,86.0,88.0,5.0,0.08092948717948716,0.5181891025641026,100
Jamie Foxx,ray charles,ray,2.0,87.0,80.0,26.0,0.2564515455304929,0.5322023809523809,101
Javier Bardem,reinaldo arenas,before night falls,1.0,84.0,73.0,20.0,0.26631944444444444,0.6239583333333333,102
Javier Bardem,uxbal,biutiful,1.0,74.0,66.0,31.0,0.06417048229548229,0.6452351210043518,102
Jean Dujardin,george valentin,the artist,2.0,87.0,95.0,64.0,0.2996175026021338,0.6123731418493323,103
Jeff Bridges,starman,starman,1.0,69.0,85.0,6.0,0.2857321428571428,0.4686706349206349,104
Jeff Bridges,otis bad blake,crazy heart,2.0,76.0,90.0,35.0,0.17823777157786896,0.6072151165332984,104
Jeff Bridges,reuben rooster cogburn,true grit,1.0,85.0,96.0,43.0,0.2565414230019493,0.5821654613193075,104
Jeremy Irons,claus von bulow,reversal of fortune,2.0,77.0,92.0,15.0,0.17418650793650794,0.6630555555555555,105
Jeremy Renner,sfc william james,the hurt locker,1.0,84.0,97.0,43.0,0.23517130631713964,0.5276367151367152,106
Jesse Eisenberg,mark zuckerberg,the social network,1.0,86.0,96.0,43.0,0.21009806713754084,0.5061833964646466,107
Joaquin Phoenix,johnny cash,walk the line,1.0,90.0,82.0,25.0,0.23510281385281387,0.5256313131313131,108
Joaquin Phoenix,freddie quell,the master,1.0,61.0,85.0,38.0,0.2876387725178048,0.6182356730571016,108
Joaquin Phoenix,arthur fleck / joker,joker,2.0,88.0,68.0,45.0,0.07704465753884358,0.5686187269520603,108
John Garfield,charley davis,body and soul,1.0,88.0,100.0,3.0,0.045401785714285714,0.46650297619047615,109
John Hurt,john merrick,the elephant man,1.0,93.0,92.0,12.0,0.25736607142857143,0.6978472222222223,110
John Travolta,anthony tony manero,saturday night fever,1.0,71.0,82.0,9.0,0.21873840445269016,0.48590367965367964,111
John Travolta,vincent vega,pulp fiction,1.0,96.0,92.0,31.0,0.16307081807081805,0.5606280525030525,111
John Wayne,sgt john m stryker,sands of iwo jima,1.0,80.0,100.0,0.0,0.0,0.0,112
John Wayne,reuben rooster cogburn,true grit,2.0,84.0,89.0,13.0,0.26910430839002264,0.5284297052154195,112
Johnny Depp,captain jack sparrow,pirates of the caribbean the curse of the black pearl,1.0,86.0,79.0,27.0,0.14782031625781625,0.5460218253968254,113
Johnny Depp,j m barrie,finding neverland,1.0,87.0,83.0,28.0,0.2226601473922902,0.6780194805194806,113
Johnny Depp,sweeney todd / benjamin barker,sweeney todd the demon barber of fleet street,1.0,81.0,86.0,33.0,0.2226271310993533,0.547983985260771,113
Jon Voight,joe buck,midnight cowboy,1.0,88.0,88.0,17.0,0.09472470238095236,0.584031746031746,114
Jon Voight,luke martin,coming home,2.0,83.0,83.0,7.0,0.24976190476190477,0.6826530612244898,114
Jon Voight,oscar manny manheim,runaway train,1.0,76.0,85.0,6.0,-0.12023809523809523,0.6787698412698412,114
Jonathan Pryce,cardinal jorge mario bergoglio,the two popes,1.0,88.0,89.0,43.0,0.23553497296354436,0.47848888723888733,115
Jose Ferrer,cyrano de bergerac,cyrano de bergerac,2.0,0.0,0.0,0.0,0.0,0.0,116
Jose Ferrer,cyrano de bergerac,cyrano de bergerac,2.0,81.0,78.0,8.0,0.11596726190476189,0.4343005952380953,116
Jose Ferrer,henri de toulouse-lautrec comte alphonse de toulouse-lautrec,moulin rouge,1.0,90.0,78.0,1.0,0.6583333333333332,0.975,116
Jude Law,w p inman,cold mountain,1.0,77.0,71.0,31.0,0.23250343915343918,0.6203870272388791,117
Kenneth Branagh,king henry v of england,henry v,1.0,89.0,100.0,13.0,0.31323863636363636,0.4738699494949495,118
Kevin Costner,lieutenant john j dunbar,dances with wolves,1.0,87.0,83.0,18.0,0.20181096681096677,0.5644955507455508,119
Kevin Spacey,lester burnham,american beauty,2.0,93.0,87.0,35.0,0.20230375744047618,0.5535623582766439,120
Kirk Douglas,michael midge kelly,champion,1.0,74.0,93.0,6.0,0.31039021164021163,0.5821891534391535,121
Kirk Douglas,jonathan shields,the bad and the beautiful,1.0,86.0,79.0,15.0,0.09474999999999997,0.5683449074074074,121
Kirk Douglas,vincent van gogh,lust for life,1.0,81.0,100.0,0.0,0.0,0.0,121
Larry Parks,al jolson,the jolson story,1.0,79.0,100.0,0.0,0.0,0.0,122
Laurence Fishburne,ike turner,whats love got to do with it,1.0,88.0,96.0,14.0,0.18439667970917967,0.5374575424575424,123
Laurence Harvey,joe lampton,room at the top,1.0,82.0,100.0,2.0,0.325,0.5,124
Laurence Olivier,heathcliff,wuthering heights,1.0,85.0,96.0,1.0,-0.2333333333333333,0.7000000000000001,125
Laurence Olivier,maximilian maxim de winter,rebecca,1.0,92.0,100.0,12.0,0.45180555555555557,0.6818181818181818,125
Laurence Olivier,king henry v of england,henry v,1.0,75.0,100.0,12.0,0.32315656565656564,0.6171064814814815,125
Laurence Olivier,hamlet prince of denmark,hamlet,2.0,80.0,95.0,9.0,0.29768518518518516,0.5643518518518519,125
Laurence Olivier,king richard iii of england,richard iii,1.0,79.0,84.0,5.0,0.18416666666666667,0.6567777777777778,125
Laurence Olivier,archie rice,the entertainer,1.0,73.0,77.0,1.0,0.18409090909090908,0.3386363636363636,125
Laurence Olivier,othello,othello,1.0,65.0,82.0,0.0,0.0,0.0,125
Laurence Olivier,andrew wyke,sleuth,1.0,90.0,96.0,5.0,0.40937500000000004,0.5975,125
Laurence Olivier,ezra lieberman,the boys from brazil,1.0,66.0,69.0,7.0,0.30347222222222225,0.5821428571428571,125
